title,description,director,year,actors,categories
Diary of a Wimpy Kid: Rodrick Rules,"title: Diary of a Wimpy Kid: Rodrick Rules ,Description: Back in middle school after summer vacation, Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond.",David Bowers,2011,"['zachary gordon', ' devon bostick', ' robert capron', 'rachael harris']","['comedy', 'family']"
Mission: Impossible III,"title: Mission: Impossible III ,Description: Agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fianceé in response .",J.J. Abrams,2006,"['tom cruise', ' michelle monaghan', ' ving rhames', ' philip seymour hoffman']","['action', 'adventure', 'thriller']"
En man som heter Ove,"title: En man som heter Ove ,Description: Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",Hannes Holm,2015,"['rolf lassgård', ' bahar pars', ' filip berg', ' ida engvoll']","['comedy', 'drama']"
Dragonball Evolution,"title: Dragonball Evolution ,Description: The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",James Wong,2009,"['justin chatwin', ' james marsters', ' yun-fat chow', ' emmy rossum']","['action', 'adventure', 'fantasy']"
Red Dawn,"title: Red Dawn ,Description: A group of teenagers look to save their town from an invasion of North Korean soldiers.",Dan Bradley,2012,"['chris hemsworth', ' isabel lucas', ' josh hutcherson', ' josh peck']","['action', 'thriller']"
One Day,"title: One Day ,Description: After spending the night together on the night of their college graduation Dexter and Em are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day.",Lone Scherfig,2011,"['anne hathaway', ' jim sturgess', ' patricia clarkson', 'tom mison']","['drama', 'romance']"
Life as We Know It,"title: Life as We Know It ,Description: Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.",Greg Berlanti,2010,"['katherine heigl', ' josh duhamel', ' josh lucas', ' alexis clagett']","['comedy', 'drama', 'romance']"
28 Weeks Later,"title: 28 Weeks Later ,Description: Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes to plan.",Juan Carlos Fresnadillo,2007,"['jeremy renner', ' rose byrne', ' robert carlyle', ' harold perrineau']","['drama', 'horror', 'sci-fi']"
Warm Bodies,"title: Warm Bodies ,Description: After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.",Jonathan Levine,2013,"['nicholas hoult', ' teresa palmer', ' john malkovich', 'analeigh tipton']","['comedy', 'horror', 'romance']"
Blue Jasmine,"title: Blue Jasmine ,Description: A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks a million, but isn't bringing money, peace, or love...",Woody Allen,2013,"['cate blanchett', ' alec baldwin', ' peter sarsgaard', ' sally hawkins']",['drama']
G.I. Joe: Retaliation,"title: G.I. Joe: Retaliation ,Description: The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.",Jon M. Chu,2013,"['dwayne johnson', ' channing tatum', ' adrianne palicki', 'byung-hun lee']","['action', 'adventure', 'sci-fi']"
Wrath of the Titans,"title: Wrath of the Titans ,Description: Perseus braves the treacherous underworld to rescue his father, Zeus, captured by his son, Ares, and brother Hades who unleash the ancient Titans upon the world.",Jonathan Liebesman,2012,"['sam worthington', ' liam neeson', ' rosamund pike', ' ralph fiennes']","['action', 'adventure', 'fantasy']"
Shin Gojira,"title: Shin Gojira ,Description: Japan is plunged into chaos upon the appearance of a giant monster.",Hideaki Anno,2016,"['hiroki hasegawa', ' yutaka takenouchi', 'satomi ishihara', ' ren ôsugi']","['action', 'adventure', 'drama']"
Saving Mr. Banks,"title: Saving Mr. Banks ,Description: Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen.",John Lee Hancock,2013,"['emma thompson', ' tom hanks', ' annie rose buckley', ' colin farrell']","['biography', 'comedy', 'drama']"
Transcendence,"title: Transcendence ,Description: A scientist's drive for artificial intelligence, takes on dangerous implications when his consciousness is uploaded into one such program.",Wally Pfister,2014,"['johnny depp', ' rebecca hall', ' morgan freeman', ' cillian murphy']","['drama', 'mystery', 'romance']"
Rio,"title: Rio ,Description: When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.",Carlos Saldanha,2011,"['jesse eisenberg', ' anne hathaway', ' george lopez', 'karen disher']","['animation', 'adventure', 'comedy']"
Equals,"title: Equals ,Description: In an emotionless utopia, two people fall in love when they regain their feelings from a mysterious disease, causing tensions between them and their society.",Drake Doremus,2015,"['nicholas hoult', ' kristen stewart', ' vernetta lopez', 'scott lawrence']","['drama', 'romance', 'sci-fi']"
Babel,"title: Babel ,Description: Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.",Alejandro González Iñárritu,2006,"['brad pitt', ' cate blanchett', ' gael garcía bernal', ' mohamed akhzam']",['drama']
The Tree of Life,"title: The Tree of Life ,Description: The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.",Terrence Malick,2011,"['brad pitt', ' sean penn', ' jessica chastain', ' hunter mccracken']","['drama', 'fantasy']"
The Lucky One,"title: The Lucky One ,Description: A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.",Scott Hicks,2012,"['zac efron', ' taylor schilling', ' blythe danner', ' riley thomas stewart']","['drama', 'romance']"
Piranha 3D,"title: Piranha 3D ,Description: After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents.",Alexandre Aja,2010,"['elisabeth shue', ' jerry oconnell', ' richard dreyfuss', 'ving rhames']","['comedy', 'horror', 'thriller']"
50/50,"title: 50/50 ,Description: Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease.",Jonathan Levine,2011,"['joseph gordon-levitt', ' seth rogen', ' anna kendrick', ' bryce dallas howard']","['comedy', 'drama', 'romance']"
The Intent,"title: The Intent ,Description: Gunz (Dylan Duffus) is thrust into a world of excitement when he joins the TIC crew. The crew, led by the ruthless Hoodz (Scorcher), goes from low level weed peddling to full on armed ... See full summary »",Femi Oyeniran,2016,"['dylan duffus', ' scorcher', 'shone romulus', ' jade asha']","['crime', 'drama']"
This Is 40,"title: This Is 40 ,Description: Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.",Judd Apatow,2012,"['paul rudd', ' leslie mann', ' maude apatow', ' iris apatow']","['comedy', 'romance']"
Real Steel,"title: Real Steel ,Description: In the near future, robot boxing is a top sport. A struggling promoter feels he's found a champion in a discarded robot.",Shawn Levy,2011,"['hugh jackman', ' evangeline lilly', ' dakota goyo', 'anthony mackie']","['action', 'drama', 'family']"
Sex and the City,"title: Sex and the City ,Description: A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.",Michael Patrick King,2008,"['sarah jessica parker', ' kim cattrall', ' cynthia nixon', ' kristin davis']","['comedy', 'drama', 'romance']"
Rambo,"title: Rambo ,Description: In Thailand, John Rambo joins a group of missionaries to venture into war-torn Burma, and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.",Sylvester Stallone,2008,"['sylvester stallone', ' julie benz', ' matthew marsden', ' graham mctavish']","['action', 'thriller', 'war']"
Planet Terror,"title: Planet Terror ,Description: After an experimental bio-weapon is released, turning thousands into zombie-like creatures, it's up to a rag-tag group of survivors to stop the infected and those behind its release.",Robert Rodriguez,2007,"['rose mcgowan', ' freddy rodríguez', ' josh brolin', 'marley shelton']","['action', 'comedy', 'horror']"
Concussion,"title: Concussion ,Description: In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play.",Peter Landesman,2015,"['will smith', ' alec baldwin', ' albert brooks', ' david morse']","['biography', 'drama', 'sport']"
The Fall,"title: The Fall ,Description: In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",Tarsem Singh,2006,"['lee pace', ' catinca untaru', ' justine waddell', ' kim uylenbroek']","['adventure', 'comedy', 'drama']"
The Ugly Truth,"title: The Ugly Truth ,Description: A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help ... See full summary »",Robert Luketic,2009,"['katherine heigl', ' gerard butler', ' bree turner', ' eric winter']","['comedy', 'romance']"
Bride Wars,"title: Bride Wars ,Description: Two best friends become rivals when they schedule their respective weddings on the same day.",Gary Winick,2009,"['kate hudson', ' anne hathaway', ' candice bergen', ' bryan greenberg']","['comedy', 'romance']"
Sleeping with Other People,"title: Sleeping with Other People ,Description: A good-natured womanizer and a serial cheater form a platonic relationship that helps reform them in ways, while a mutual attraction sets in.",Leslye Headland,2015,"['jason sudeikis', ' alison brie', ' jordan carlos', 'margarita levieva']","['comedy', 'drama', 'romance']"
Snakes on a Plane,"title: Snakes on a Plane ,Description: An FBI agent takes on a plane full of deadly and venomous snakes, deliberately released to kill a witness being flown from Honolulu to Los Angeles to testify against a mob boss.",David R. Ellis,2006,"['samuel l. jackson', ' julianna margulies', ' nathan phillips', ' rachel blanchard']","['action', 'adventure', 'crime']"
What If,"title: What If ,Description: Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life.",Michael Dowse,2013,"['daniel radcliffe', ' zoe kazan', ' megan park', ' adam driver']","['comedy', 'romance']"
How to Train Your Dragon 2,"title: How to Train Your Dragon 2 ,Description: When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",Dean DeBlois,2014,"['jay baruchel', ' cate blanchett', ' gerard butler', ' craig ferguson']","['animation', 'action', 'adventure']"
RoboCop,"title: RoboCop ,Description: In 2028 Detroit, when Alex Murphy - a loving husband, father and good cop - is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer.",José Padilha,2014,"['joel kinnaman', ' gary oldman', ' michael keaton', ' abbie cornish']","['action', 'crime', 'sci-fi']"
In Dubious Battle,"title: In Dubious Battle ,Description: An activist gets caught up in the labor movement for farm workers in California during the 1930s.",James Franco,2016,"['nat wolff', ' james franco', ' vincent donofrio', ' selena gomez']",['drama']
"Hello, My Name Is Doris","title: Hello, My Name Is Doris ,Description: A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.",Michael Showalter,2015,"['sally field', ' max greenfield', ' tyne daly', ' wendi mclendon-covey']","['comedy', 'drama', 'romance']"
Ocean's Thirteen,"title: Ocean's Thirteen ,Description: Danny Ocean rounds up the boys for a third heist, after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.",Steven Soderbergh,2007,"['george clooney', ' brad pitt', ' matt damon', 'michael mantell']","['crime', 'thriller']"
Slither,"title: Slither ,Description: A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.",James Gunn,2006,"['nathan fillion', ' elizabeth banks', ' michael rooker', ' don thompson']","['comedy', 'horror', 'sci-fi']"
Contagion,"title: Contagion ,Description: Healthcare professionals, government officials and everyday people find themselves in the midst of a worldwide epidemic as the CDC works to find a cure.",Steven Soderbergh,2011,"['matt damon', ' kate winslet', ' jude law', ' gwyneth paltrow']","['drama', 'thriller']"
Il racconto dei racconti - Tale of Tales,"title: Il racconto dei racconti - Tale of Tales ,Description: From the bitter quest of the Queen of Longtrellis, to two mysterious sisters who provoke the passion of a king, to the King of Highhills obsessed with a giant Flea, these tales are inspired by the fairytales by Giambattista Basile.",Matteo Garrone,2015,"['salma hayek', ' vincent cassel', ' toby jones', ' john c. reilly']","['drama', 'fantasy', 'horror']"
I Am the Pretty Thing That Lives in the House,"title: I Am the Pretty Thing That Lives in the House ,Description: A young nurse takes care of elderly author who lives in a haunted house.",Oz Perkins,2016,"['ruth wilson', ' paula prentiss', ' lucy boynton', ' bob balaban']",['thriller']
Bridge to Terabithia,"title: Bridge to Terabithia ,Description: A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.",Gabor Csupo,2007,"['josh hutcherson', ' annasophia robb', ' zooey deschanel', ' robert patrick']","['adventure', 'drama', 'family']"
Coherence,"title: Coherence ,Description: Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.",James Ward Byrkit,2013,"['emily baldoni', ' maury sterling', ' nicholas brendon', ' elizabeth gracen']","['mystery', 'sci-fi', 'thriller']"
Notorious,"title: Notorious ,Description: The life and death story of Notorious B.I.G. (a.k.a. Christopher Wallace), who came straight out of Brooklyn to take the world of rap music by storm.",George Tillman Jr.,2009,"['jamal woolard', ' anthony mackie', ' derek luke', 'momo dione']","['biography', 'crime', 'drama']"
Goksung,"title: Goksung ,Description: A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.",Hong-jin Na,2016,"['jun kunimura', ' jung-min hwang', ' do-won kwak', ' woo-hee chun']","['drama', 'fantasy', 'horror']"
The Expendables 2,"title: The Expendables 2 ,Description: Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",Simon West,2012,"['sylvester stallone', ' liam hemsworth', ' randy couture', 'jean-claude van damme']","['action', 'adventure', 'thriller']"
The Girl Next Door,"title: The Girl Next Door ,Description: Based on the Jack Ketchum novel of the same name, The Girl Next Door follows the unspeakable torture and abuses committed on a teenage girl in the care of her aunt...and the boys who witness and fail to report the crime.",Gregory Wilson,2007,"['william atherton', ' blythe auffarth', ' blanche baker', 'kevin chamberlin']","['crime', 'drama', 'horror']"
Perfume: The Story of a Murderer,"title: Perfume: The Story of a Murderer ,Description: Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",Tom Tykwer,2006,"['ben whishaw', ' dustin hoffman', ' alan rickman', 'francesc albiol']","['crime', 'drama', 'fantasy']"
The Golden Compass,"title: The Golden Compass ,Description: In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.",Chris Weitz,2007,"['nicole kidman', ' daniel craig', ' dakota blue richards', ' ben walker']","['adventure', 'family', 'fantasy']"
Centurion,"title: Centurion ,Description: A splinter group of Roman soldiers fight for their lives behind enemy lines after their legion is decimated in a devastating guerrilla attack.",Neil Marshall,2010,"['michael fassbender', ' dominic west', ' olga kurylenko', 'andreas wisniewski']","['action', 'adventure', 'drama']"
Scouts Guide to the Zombie Apocalypse,"title: Scouts Guide to the Zombie Apocalypse ,Description: Three scouts, on the eve of their last camp-out, discover the true meaning of friendship when they attempt to save their town from a zombie outbreak.",Christopher Landon,2015,"['tye sheridan', ' logan miller', ' joey morgan', 'sarah dumont']","['action', 'comedy', 'horror']"
17 Again,"title: 17 Again ,Description: Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.",Burr Steers,2009,"['zac efron', ' matthew perry', ' leslie mann', ' thomas lennon']","['comedy', 'drama', 'family']"
No Escape,"title: No Escape ,Description: In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape from an environment where foreigners are being immediately executed.",John Erick Dowdle,2015,"['lake bell', ' pierce brosnan', ' owen wilson', 'chatchawai kamonsakpitak']","['action', 'thriller']"
Superman Returns,"title: Superman Returns ,Description: Superman reappears after a long absence, but is challenged by an old foe who uses Kryptonian technology for world domination.",Bryan Singer,2006,"['brandon routh', ' kevin spacey', ' kate bosworth', ' james marsden']","['action', 'adventure', 'sci-fi']"
The Twilight Saga: Breaking Dawn - Part 1,"title: The Twilight Saga: Breaking Dawn - Part 1 ,Description: The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",Bill Condon,2011,"['kristen stewart', ' robert pattinson', ' taylor lautner', ' gil birmingham']","['adventure', 'drama', 'fantasy']"
Precious,"title: Precious ,Description: In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that her life can head in a new direction.",Lee Daniels,2009,"['gabourey sidibe', ' monique', ' paula patton', ' mariah carey']",['drama']
The Sea of Trees,"title: The Sea of Trees ,Description: A suicidal American befriends a Japanese man lost in a forest near Mt. Fuji and the two search for a way out.",Gus Van Sant,2015,"['matthew mcconaughey', ' naomi watts', ' ken watanabe', 'ryoko seta']",['drama']
Good Kids,"title: Good Kids ,Description: Four high school students look to redefine themselves after graduation.",Chris McCoy,2016,"['zoey deutch', ' nicholas braun', ' mateo arias', ' israel broussard']",['comedy']
The Master,"title: The Master ,Description: A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by The Cause and its charismatic leader.",Paul Thomas Anderson,2012,"['philip seymour hoffman', ' joaquin phoenix', 'amy adams', ' jesse plemons']",['drama']
Footloose,"title: Footloose ,Description: City teenager Ren MacCormack moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.",Craig Brewer,2011,"['kenny wormald', ' julianne hough', ' dennis quaid', 'andie macdowell']","['comedy', 'drama', 'music']"
If I Stay,"title: If I Stay ,Description: Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if she can go on.",R.J. Cutler,2014,"['chloë grace moretz', ' mireille enos', ' jamie blackley', 'joshua leonard']","['drama', 'fantasy', 'music']"
The Ticket,"title: The Ticket ,Description: A blind man who regains his vision finds himself becoming metaphorically blinded by his obsession for the superficial.",Ido Fluk,2016,"['dan stevens', ' malin akerman', ' oliver platt', ' kerry bishé']",['drama']
Detour,"title: Detour ,Description: A young law student blindly enters into a pact with a man who offers to kill his stepfather, whom he feels is responsible for the accident that sent his mother into a coma.",Christopher Smith,2016,"['tye sheridan', ' emory cohen', ' bel powley', 'stephen moyer']",['thriller']
The Love Witch,"title: The Love Witch ,Description: A modern-day witch uses spells and magic to get men to fall in love with her.",Anna Biller,2016,"['samantha robinson', ' jeffrey vincent parise', ' laura waddell', ' gian keys']","['comedy', 'horror']"
Talladega Nights: The Ballad of Ricky Bobby,"title: Talladega Nights: The Ballad of Ricky Bobby ,Description: #1 NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.",Adam McKay,2006,"['will ferrell', ' john c. reilly', ' sacha baron cohen', ' gary cole']","['action', 'comedy', 'sport']"
The Human Centipede (First Sequence),"title: The Human Centipede (First Sequence) ,Description: A mad scientist kidnaps and mutilates a trio of tourists in order to reassemble them into a human centipede, created by stitching their mouths to each others' rectums.",Tom Six,2009,"['dieter laser', ' ashley c. williams', ' ashlynn yennie', ' akihiro kitamura']",['horror']
Super,"title: Super ,Description: After his wife falls under the influence of a drug dealer, an everyday guy transforms himself into Crimson Bolt, a superhero with the best intentions, but lacking in heroic skills.",James Gunn,2010,"['rainn wilson', ' ellen page', ' liv tyler', ' kevin bacon']","['comedy', 'drama']"
The Siege of Jadotville,"title: The Siege of Jadotville ,Description: Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.",Richie Smyth,2016,"['jamie dornan', ' mark strong', ' jason omara', ' michael mcelhatton']","['action', 'drama', 'thriller']"
Up in the Air,"title: Up in the Air ,Description: Ryan Bingham enjoys living out of a suitcase for his job traveling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest and a new hire.",Jason Reitman,2009,"['george clooney', ' vera farmiga', ' anna kendrick', 'jason bateman']","['drama', 'romance']"
The Midnight Meat Train,"title: The Midnight Meat Train ,Description: A photographer's obsessive pursuit of dark subject matter leads him into the path of a serial killer who stalks late night commuters, ultimately butchering them in the most gruesome ways imaginable.",Ryûhei Kitamura,2008,"['vinnie jones', ' bradley cooper', ' leslie bibb', ' brooke shields']","['horror', 'mystery']"
The Twilight Saga: Eclipse,"title: The Twilight Saga: Eclipse ,Description: As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",David Slade,2010,"['kristen stewart', ' robert pattinson', ' taylor lautner', 'xavier samuel']","['adventure', 'drama', 'fantasy']"
Transpecos,"title: Transpecos ,Description: For three Border Patrol agents working a remote desert checkpoint, the contents of one car will reveal an insidious plot within their own ranks. The next 24 hours will take them on a treacherous journey that could cost them their lives.",Greg Kwedar,2016,"['johnny simmons', ' gabriel luna', ' clifton collins jr.', 'david acord']",['thriller']
What's Your Number?,"title: What's Your Number? ,Description: A woman looks back at the past nineteen men she's had relationships with in her life and wonders if one of them might be her one true love.",Mark Mylod,2011,"['anna faris', ' chris evans', ' ari graynor', ' blythe danner']","['comedy', 'romance']"
Riddick,"title: Riddick ,Description: Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past.",David Twohy,2013,"['vin diesel', ' karl urban', ' katee sackhoff', ' jordi mollà']","['action', 'sci-fi', 'thriller']"
Triangle,"title: Triangle ,Description: The story revolves around the passengers of a yachting trip in the Atlantic Ocean who, when struck by mysterious weather conditions, jump to another ship only to experience greater havoc on the open seas.",Christopher Smith,2009,"['melissa george', ' joshua mcivor', ' jack taylor', 'michael dorman']","['fantasy', 'mystery', 'thriller']"
The Butler,"title: The Butler ,Description: As Cecil Gaines serves eight presidents during his tenure as a butler at the White House, the civil rights movement, Vietnam, and other major events affect this man's life, family, and American society.",Lee Daniels,2013,"['forest whitaker', ' oprah winfrey', ' john cusack', ' jane fonda']","['biography', 'drama']"
King Cobra,"title: King Cobra ,Description: This ripped-from-the-headlines drama covers the early rise of gay porn headliner Sean Paul Lockhart a.k.a. Brent Corrigan, before his falling out with the producer who made him famous. When... See full summary »",Justin Kelly,2016,"['garrett clayton', ' christian slater', ' molly ringwald', 'james kelley']","['crime', 'drama']"
After Earth,"title: After Earth ,Description: A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help.",M. Night Shyamalan,2013,"['jaden smith', ' david denman', ' will smith', 'sophie okonedo']","['action', 'adventure', 'sci-fi']"
Kicks,"title: Kicks ,Description: Brandon is a 15 year old whose dream is a pair of fresh Air Jordans. Soon after he gets his hands on them, they're stolen by a local hood, causing Brandon and his two friends to go on a dangerous mission through Oakland to retrieve them.",Justin Tipping,2016,"['jahking guillory', ' christopher jordan wallace', 'christopher meyer', ' kofi siriboe']",['adventure']
Me and Earl and the Dying Girl,"title: Me and Earl and the Dying Girl ,Description: High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.",Alfonso Gomez-Rejon,2015,"['thomas mann', ' rj cyler', ' olivia cooke', ' nick offerman']","['comedy', 'drama']"
The Descendants,"title: The Descendants ,Description: A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.",Alexander Payne,2011,"['george clooney', ' shailene woodley', ' amara miller', ' nick krause']","['comedy', 'drama']"
Sex and the City 2,"title: Sex and the City 2 ,Description: While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie.",Michael Patrick King,2010,"['sarah jessica parker', ' kim cattrall', ' kristin davis', ' cynthia nixon']","['comedy', 'drama', 'romance']"
The Kings of Summer,"title: The Kings of Summer ,Description: Three teenage friends, in the ultimate act of independence, decide to spend their summer building a house in the woods and living off the land.",Jordan Vogt-Roberts,2013,"['nick robinson', ' gabriel basso', ' moises arias', 'nick offerman']","['adventure', 'comedy', 'drama']"
Death Race,"title: Death Race ,Description: Ex-con Jensen Ames is forced by the warden of a notorious prison to compete in our post-industrial world's most popular sport: a car race in which inmates must brutalize and kill one another on the road to victory.",Paul W.S. Anderson,2008,"['jason statham', ' joan allen', ' tyrese gibson', ' ian mcshane']","['action', 'sci-fi', 'thriller']"
That Awkward Moment,"title: That Awkward Moment ,Description: Three best friends find themselves where we've all been - at that confusing moment in every dating relationship when you have to decide ""So...where is this going?""",Tom Gormican,2014,"['zac efron', ' michael b. jordan', ' miles teller', ' imogen poots']","['comedy', 'romance']"
Legion,"title: Legion ,Description: When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope.",Scott Stewart,2010,"['paul bettany', ' dennis quaid', ' charles s. dutton', ' lucas black']","['action', 'fantasy', 'horror']"
End of Watch,"title: End of Watch ,Description: Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",David Ayer,2012,"['jake gyllenhaal', ' michael peña', ' anna kendrick', ' america ferrera']","['crime', 'drama', 'thriller']"
3 Days to Kill,"title: 3 Days to Kill ,Description: A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.",McG,2014,"['kevin costner', ' hailee steinfeld', ' connie nielsen', ' amber heard']","['action', 'drama', 'thriller']"
Lucky Number Slevin,"title: Lucky Number Slevin ,Description: A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses: The Rabbi and The Boss. Slevin is under constant surveillance by relentless Detective Brikowski as well as the infamous assassin Goodkat and finds himself having to hatch his own ingenious plot to get them before they get him.",Paul McGuigan,2006,"['josh hartnett', ' ben kingsley', ' morgan freeman', ' lucy liu']","['crime', 'drama', 'mystery']"
Trance,"title: Trance ,Description: An art auctioneer who has become mixed up with a group of criminals partners with a hypnotherapist in order to recover a lost painting.",Danny Boyle,2013,"['james mcavoy', ' rosario dawson', ' vincent cassel', 'danny sapani']","['crime', 'drama', 'mystery']"
Into the Forest,"title: Into the Forest ,Description: After a massive power outage, two sisters learn to survive on their own in their isolated woodland home.",Patricia Rozema,2015,"['ellen page', ' evan rachel wood', ' max minghella', 'callum keith rennie']","['drama', 'sci-fi', 'thriller']"
The Other Boleyn Girl,"title: The Other Boleyn Girl ,Description: Two sisters contend for the affection of King Henry VIII.",Justin Chadwick,2008,"['natalie portman', ' scarlett johansson', ' eric bana', 'jim sturgess']","['biography', 'drama', 'history']"
I Spit on Your Grave,"title: I Spit on Your Grave ,Description: A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead.",Steven R. Monroe,2010,"['sarah butler', ' jeff branson', ' andrew howard', 'daniel franzese']","['crime', 'horror', 'thriller']"
Custody,"title: Custody ,Description: The lives of three women are unexpectedly changed when they cross paths at a New York Family Court.",James Lapine,2016,"['viola davis', ' hayden panettiere', ' catalina sandino moreno', ' ellen burstyn']",['drama']
Inland Empire,"title: Inland Empire ,Description: As an actress starts to adopt the persona of her character in a film, her world starts to become nightmarish and surreal.",David Lynch,2006,"['laura dern', ' jeremy irons', ' justin theroux', ' karolina gruszka']","['drama', 'mystery', 'thriller']"
